"","X","OPE.ID","School","State","Zip.Code","School.Type","Subsidized.Recipients","Subsidized.Num.of.Loans.Originated","Subsidized.Dollars.of.Loans.Originated","Subsidized.Num.of.Disbursements","Subsidized.Dollars.of.Disbursements","Unsubsidized.Undergrad.Recipients","Unsubsidized.Undergrad.Num.of.Loans.Originated","Unsubsidized.Undergrad.Dollars.of.Loans.Originated","Unsubsidized.Undergrad.Num.of.Disbursements","Unsubsidized.Undergrad.Dollars.of.Disbursements","Unsubsidized.Graduate.Recipients","Unsubsidized.Graduate.Num.of.Loans.Originated","Unsubsidized.Graduate.Dollars.of.Loans.Originated","Unsubsidized.Graduate.Num.of.Disbursements","Unsubsidized.Graduate.Dollars.of.Disbursements","Parent.Plus.Recipients","Parent.Plus.Num.of.Loans.Originated","Parent.Plus.Dollars.of.Loans.Originated","Parent.Plus.Num.of.Disbursements","Parent.Plus.Dollars.of.Disbursements","Grad.Plus.Recipients","Grad.Plus.Num.of.Loans.Originated","Grad.Plus.Dollars.of.Loans.Originated","Grad.Plus.Num.of.Disbursements","Grad.Plus.Dollars.of.Disbursements"
"3770",3770,4154900,"NATIONAL CAREER INSTITUTE","NJ","70182011","Proprietary",20,20,53824,20,26920,22,22,99760,22,49887,NA,NA,NA,NA,NA,2,2,6233,2,3117,NA,NA,NA,NA,NA
"3771",3771,4155000,"NORTHWEST SCHOOL OF WOODEN BOAT BUILDING","WA","983398706","Private-Nonprofit",7,7,30500,14,20334,8,8,47500,16,31666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3772",3772,4155100,"INSTITUTE OF MEDICAL AND BUSINESS CAREERS","PA","152351013","Proprietary",38,39,104208,56,48673,37,38,148694,47,64360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3773",3773,4155200,"OLIVER FINLEY ACADEMY OF COSMETOLOGY","ID","837142900","Proprietary",26,26,75829,34,47827,27,27,104628,35,67310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3774",3774,4155300,"ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE","NY","132101533","Proprietary",15,15,50567,15,26067,15,15,97000,15,48500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3775",3775,4155500,"ACADEMY FOR JEWISH RELIGION CALIFORNIA","CA","900243234","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,231900,12,115950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3776",3776,4155900,"AVEDA FREDRIC'S INSTITUTE","IN","462504746","Proprietary",43,43,135795,44,67898,55,55,222644,56,111330,NA,NA,NA,NA,NA,6,6,55211,6,27608,NA,NA,NA,NA,NA
"3777",3777,4156000,"ACADEMY OF COSMETOLOGY & ESTHETICS NYC (THE)","NY","103063003","Proprietary",1,1,3500,1,1750,1,1,6000,1,3000,NA,NA,NA,NA,NA,1,1,6670,1,3335,NA,NA,NA,NA,NA
"3778",3778,4156200,"INSTITUTE OF ADVANCED MEDICAL ESTHETICS","VA","230052111","Proprietary",2,2,4666,2,2332,3,3,11051,4,7051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3779",3779,4156400,"AVIATION INSTITUTE OF MAINTENANCE","FL","327072905","Proprietary",62,65,257342,67,130963,61,62,290738,64,148488,NA,NA,NA,NA,NA,16,17,114116,17,57062,NA,NA,NA,NA,NA
"3780",3780,4157100,"L3 COMMERCIAL TRAINING SOLUTIONS AIRLINE ACADEMY","FL","327739683","Proprietary",13,13,31365,13,15689,17,17,43256,17,21630,NA,NA,NA,NA,NA,12,19,1195946,19,586881,NA,NA,NA,NA,NA
"3781",3781,4157200,"LOVE BEAUTY SCHOOL","TN","373552950","Proprietary",6,6,19833,6,9916,6,7,26000,7,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3782",3782,4157400,"NATIONAL PARALEGAL COLLEGE","AZ","850141561","Proprietary",57,57,198050,175,81079,52,52,277708,153,114020,3,3,53166,4,13167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3783",3783,4157600,"NOVA ACADEMY OF COSMETOLOGY","MN","559018754","Proprietary",20,20,65776,20,32889,28,28,111612,30,57560,NA,NA,NA,NA,NA,1,1,13458,1,6729,NA,NA,NA,NA,NA
"3784",3784,4157700,"SALON PROFESSIONAL ACADEMY (THE)","WI","546508699","Proprietary",6,6,19833,7,11083,7,7,27500,8,15750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3785",3785,4158000,"METRO BEAUTY ACADEMY","PA","181069693","Proprietary",28,28,71628,35,41516,36,36,134118,45,78171,NA,NA,NA,NA,NA,4,4,25195,4,12597,NA,NA,NA,NA,NA
"3786",3786,4158100,"AIKEN SCHOOL OF COSMETOLOGY AND BARBERING","SC","298014554","Proprietary",2,2,7000,2,3500,2,2,12000,2,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3787",3787,4158200,"PAUL MITCHELL THE SCHOOL SHERMAN OAKS","CA","914035882","Proprietary",15,15,48361,16,24986,14,14,54590,14,27294,NA,NA,NA,NA,NA,1,1,15285,1,7642,NA,NA,NA,NA,NA
"3788",3788,4158400,"L'ESPRIT ACADEMY","MI","481870000","Proprietary",11,11,24492,11,12251,18,18,90836,18,45421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3789",3789,4158800,"THEATRE OF ARTS","CA","900286111","Proprietary",1,1,4500,1,1500,1,1,6000,1,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3790",3790,4158900,"FLAIR BEAUTY COLLEGE","CA","913552196","Proprietary",8,8,23799,8,11902,9,9,30155,9,15079,NA,NA,NA,NA,NA,2,2,5402,2,2702,NA,NA,NA,NA,NA
"3791",3791,4159300,"MARKETTI ACADEMY OF COSMETOLOGY","MI","483293506","Proprietary",2,2,7000,2,3500,2,2,6525,2,3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3792",3792,4159600,"GALAXY MEDICAL COLLEGE","CA","916061593","Proprietary",17,17,71184,17,39434,17,17,100577,17,50291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3793",3793,4159700,"AMERICAN MEDICAL SCIENCES CENTER","CA","912045108","Proprietary",16,16,56005,16,28001,10,10,25999,10,12997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3794",3794,4160400,"ANGELES COLLEGE","CA","900102100","Proprietary",39,39,155500,39,77750,38,38,190348,38,95174,NA,NA,NA,NA,NA,4,4,26914,4,13457,NA,NA,NA,NA,NA
"3795",3795,4160600,"PAUL MITCHELL THE SCHOOL NORMAL","IL","617610000","Proprietary",7,7,19311,8,9811,10,10,36913,11,18566,NA,NA,NA,NA,NA,9,9,67995,9,33997,NA,NA,NA,NA,NA
"3796",3796,4160700,"AVENUE FIVE INSTITUTE","TX","787577000","Proprietary",8,8,23043,8,12248,8,8,26814,8,13405,NA,NA,NA,NA,NA,1,1,3186,1,1593,NA,NA,NA,NA,NA
"3797",3797,4161800,"BRANDMAN UNIVERSITY","CA","926183801","Private-Nonprofit",1426,1426,6706595,1480,3213591,1458,1459,9304445,1516,4384382,2347,2347,44266826,2387,19910814,3,3,52034,3,18978,509,509,10666679,515,3959469
"3798",3798,4161900,"MANDALYN ACADEMY","UT","840032161","Proprietary",5,5,11224,7,7112,5,5,9147,7,4009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3799",3799,4162000,"JOSE MARIA VARGAS UNIVERSITY","FL","330264534","Proprietary",25,25,93500,50,18700,25,25,139000,50,27800,7,7,143500,14,28700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3800",3800,4162400,"TONI&GUY HAIRDRESSING  ACADEMY","NM","871104404","Proprietary",15,15,41728,15,22614,20,20,93230,20,48612,NA,NA,NA,NA,NA,2,2,10340,2,5170,NA,NA,NA,NA,NA
"3801",3801,4162500,"HOLLYWOOD INSTITUTE OF BEAUTY CAREERS","FL","330236720","Proprietary",162,162,418521,182,228977,191,191,764423,216,407338,NA,NA,NA,NA,NA,19,19,79410,20,42155,NA,NA,NA,NA,NA
"3802",3802,4162700,"ERIC FISHER ACADEMY","KS","672123376","Proprietary",21,21,62744,25,34022,24,25,86935,31,45845,NA,NA,NA,NA,NA,4,4,15355,7,11807,NA,NA,NA,NA,NA
"3803",3803,4162800,"PAUL MITCHELL THE SCHOOL MODESTO","CA","953501440","Proprietary",11,11,35576,11,17788,11,11,36775,11,18385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3804",3804,4163000,"SUMMIT SALON ACADEMY","FL","336246321","Proprietary",17,17,49364,19,26807,17,17,59013,20,30671,NA,NA,NA,NA,NA,4,4,35935,5,21209,NA,NA,NA,NA,NA
"3805",3805,4163100,"SUMMIT SALON ACADEMY - GAINESVILLE","FL","326071672","Proprietary",13,13,37500,15,20250,15,15,49271,18,29968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3806",3806,4163200,"TENAJ SALON INSTITUTE","FL","321629311","Proprietary",51,51,147250,51,86000,51,51,222323,51,125573,NA,NA,NA,NA,NA,3,3,37697,3,18848,NA,NA,NA,NA,NA
"3807",3807,4163300,"COMPASS COLLEGE OF CINEMATIC ARTS","MI","495034227","Private-Nonprofit",36,36,146065,39,38436,36,36,111846,38,29747,NA,NA,NA,NA,NA,5,5,36885,5,9222,NA,NA,NA,NA,NA
"3808",3808,4163700,"BITTERROOT SCHOOL OF COSMETOLOGY","MT","598403118","Proprietary",2,2,7000,2,3500,2,2,8000,2,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3809",3809,4164100,"MONTANA ACADEMY OF SALONS","MT","594050000","Proprietary",16,16,50453,20,29991,19,21,78046,28,48493,NA,NA,NA,NA,NA,2,2,12800,3,9700,NA,NA,NA,NA,NA
"3810",3810,4164400,"ANGELES INSTITUTE","CA","907016610","Proprietary",37,37,124618,50,85818,35,35,167024,47,105719,NA,NA,NA,NA,NA,6,6,45601,8,26230,NA,NA,NA,NA,NA
"3811",3811,4165000,"MERIDIAN INSTITUTE OF SURGICAL ASSISTING","TN","372180000","Proprietary",96,96,238082,96,115843,115,115,566585,116,274128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3812",3812,4165300,"PAUL MITCHELL THE SCHOOL MILWAUKEE","WI","530725524","Proprietary",23,23,80000,23,40000,23,23,110254,23,55126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3813",3813,4165500,"ACAYDIA SPA AND SCHOOL OF AESTHETICS","UT","846010000","Proprietary",15,15,42166,18,23332,14,14,39914,18,22373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3814",3814,4165800,"SALON PROFESSIONAL ACADEMY (THE)","TX","750672348","Proprietary",16,16,48586,16,25172,20,24,113418,24,56711,NA,NA,NA,NA,NA,2,2,21376,2,10688,NA,NA,NA,NA,NA
"3815",3815,4165900,"PAUL MITCHELL THE SCHOOL FRESNO","CA","937107617","Proprietary",21,21,71750,21,36750,21,21,96223,21,49611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3816",3816,4166700,"SUMMIT SALON ACADEMY","IN","460132832","Proprietary",20,20,63832,22,34916,17,17,62780,19,35392,NA,NA,NA,NA,NA,1,1,6860,1,3430,NA,NA,NA,NA,NA
"3817",3817,4166800,"SUMMIT SALON ACADEMY","OH","455510000","Proprietary",4,4,16752,4,8376,3,3,18000,3,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3818",3818,4167000,"PAUL MITCHELL THE SCHOOL TEMECULA","CA","925914663","Proprietary",32,32,112000,32,56000,31,31,121060,31,60526,NA,NA,NA,NA,NA,4,4,39025,4,19512,NA,NA,NA,NA,NA
"3819",3819,4167100,"AVEDA INSTITUTE DENVER","CO","802020000","Proprietary",47,47,140309,49,73277,59,59,240397,62,123692,NA,NA,NA,NA,NA,14,14,110414,15,57663,NA,NA,NA,NA,NA
"3820",3820,4167200,"GEISINGER COMMONWEALTH SCHOOL OF MEDICINE","PA","185093240","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,309,10785486,309,5128117,NA,NA,NA,NA,NA,236,240,7690570,241,3544603
"3821",3821,4167300,"SALON PROFESSIONAL ACADEMY (THE)","FL","339071015","Proprietary",14,14,42822,15,22072,14,14,52527,15,26194,NA,NA,NA,NA,NA,4,4,28800,5,15600,NA,NA,NA,NA,NA
"3822",3822,4167400,"SAGE SCHOOL OF MASSAGE & ESTHETICS","OR","977034082","Proprietary",4,4,10178,4,5089,8,8,39975,8,19986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3823",3823,4167800,"INNOVATIONS DESIGN ACADEMY","IL","615202625","Proprietary",2,2,7000,2,3500,2,2,8000,2,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3824",3824,4168700,"PELOTON COLLEGE","TX","752061815","Proprietary",34,34,119000,34,59500,38,39,214177,39,107090,NA,NA,NA,NA,NA,1,1,3250,1,1625,NA,NA,NA,NA,NA
"3825",3825,4168900,"HOLISTIC MASSAGE TRAINING INSTITUTE","MD","212184220","Proprietary",1,1,3150,1,1575,1,1,5400,1,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3826",3826,4169000,"SALON & SPA INSTITUTE","TX","785208809","Proprietary",2,2,6000,2,3000,5,5,14002,5,7001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3827",3827,4169100,"DIAMONDS COSMETOLOGY COLLEGE","TX","750902657","Proprietary",7,7,22152,7,11076,6,6,30199,6,15100,NA,NA,NA,NA,NA,1,1,9150,1,4575,NA,NA,NA,NA,NA
"3828",3828,4169400,"NORTHERN VIRGINIA SCHOOL OF THERAPEUTIC MASSAGE","VA","220424302","Proprietary",11,11,25663,11,12837,12,13,50333,13,25167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3829",3829,4169700,"UNITEK COLLEGE","CA","945383185","Proprietary",360,360,1281386,360,641458,410,411,1899486,411,949939,NA,NA,NA,NA,NA,34,34,315624,34,157819,NA,NA,NA,NA,NA
"3830",3830,4169800,"GURNICK ACADEMY OF MEDICAL ARTS","CA","944031849","Proprietary",388,388,1351037,388,677227,415,415,2123643,415,1063828,NA,NA,NA,NA,NA,29,29,276887,29,141562,NA,NA,NA,NA,NA
"3831",3831,4169900,"AMERICAN BEAUTY ACADEMY","UT","846510000","Proprietary",9,9,31497,9,15749,8,8,38662,8,19331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3832",3832,4170100,"SUMMIT SALON ACADEMY","WA","984097360","Proprietary",20,20,83436,20,41718,19,19,95501,20,47750,NA,NA,NA,NA,NA,1,1,3360,1,1680,NA,NA,NA,NA,NA
"3833",3833,4170200,"PAUL MITCHELL THE SCHOOL COLORADO SPRINGS","CO","809030000","Proprietary",20,20,55748,22,29297,22,22,79786,24,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3834",3834,4170300,"BEAUTY ACADEMY OF SOUTH FLORIDA","FL","330162421","Proprietary",22,22,62164,22,31077,23,23,92972,23,46482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3835",3835,4170600,"SALON PROFESSIONAL ACADEMY (THE)","MO","633011021","Proprietary",8,8,27000,8,13500,9,10,46833,10,23417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3836",3836,4170700,"PAUL MITCHELL THE SCHOOL ST LOUIS","MO","631081554","Proprietary",36,36,118809,36,60279,43,43,156689,43,79842,NA,NA,NA,NA,NA,11,11,136341,11,68170,NA,NA,NA,NA,NA
"3837",3837,4171000,"ADVANCED TRAINING INSTITUTE","NV","891181519","Proprietary",76,76,227725,77,114299,84,86,401048,87,201526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3838",3838,4171100,"PAUL MITCHELL THE SCHOOL - DELAWARE","DE","197025108","Proprietary",14,14,48000,14,24000,15,15,61666,15,30832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3839",3839,4171400,"AVEDA INSTITUTE PORTLAND","OR","972093144","Proprietary",35,35,104737,35,52364,36,36,129106,37,64549,NA,NA,NA,NA,NA,2,2,19125,3,9562,NA,NA,NA,NA,NA
"3840",3840,4172700,"SALON PROFESSIONAL ACADEMY (THE)","IN","477157822","Proprietary",22,22,70054,23,36527,28,29,97021,30,48630,NA,NA,NA,NA,NA,4,4,30545,4,15273,NA,NA,NA,NA,NA
"3841",3841,4173000,"SHEPHERDS THEOLOGICAL SEMINARY","NC","275189316","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,145080,11,72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3842",3842,4173200,"TAYLOR ANDREWS ACADEMY OF HAIR DESIGN","UT","840886577","Proprietary",29,29,90587,30,45543,30,30,122703,32,62767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3843",3843,4173500,"MORENO VALLEY COLLEGE","CA","925512204","Public",6,6,21000,6,10500,4,4,19500,4,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3844",3844,4173700,"GRACE COLLEGE OF DIVINITY","NC","283142343","Private-Nonprofit",9,9,36315,9,18158,12,12,61500,12,30750,3,3,61500,3,30750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3845",3845,4173800,"SALON PROFESSIONAL ACADEMY (THE)","CO","809182932","Proprietary",15,15,38935,16,20776,19,19,73782,20,39172,NA,NA,NA,NA,NA,1,1,5000,1,2500,NA,NA,NA,NA,NA
"3846",3846,4173900,"EVOLVE BEAUTY ACADEMY","MO","630904507","Proprietary",7,7,23500,7,11750,7,7,18000,9,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3847",3847,4174100,"PAUL MITCHELL THE SCHOOL PHOENIX","AZ","850171919","Proprietary",16,16,54800,16,27400,17,17,68543,17,34267,NA,NA,NA,NA,NA,1,1,12000,1,6000,NA,NA,NA,NA,NA
"3848",3848,4174200,"ALL BEAUTY COLLEGE","AZ","864092561","Proprietary",2,2,5598,2,2800,3,3,12124,3,6063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3849",3849,4174500,"AVEDA INSTITUTE OF NEW MEXICO (THE)","NM","871041160","Proprietary",6,6,18666,6,9332,9,9,40001,9,20000,NA,NA,NA,NA,NA,1,1,8906,1,4296,NA,NA,NA,NA,NA
"3850",3850,4174800,"AMERICAN TRADE SCHOOL","MO","630741807","Proprietary",15,15,52500,30,35010,16,16,77395,32,51598,NA,NA,NA,NA,NA,1,1,4280,2,2854,NA,NA,NA,NA,NA
"3851",3851,4174900,"ESTELLE INTERNATIONAL","IL","600779945","Proprietary",23,23,67091,23,33534,25,25,112396,25,56192,NA,NA,NA,NA,NA,1,1,7935,1,3967,NA,NA,NA,NA,NA
"3852",3852,4175000,"UNIVERSAL SPA TRAINING ACADEMY","IL","605150000","Proprietary",7,7,20419,7,10213,9,9,40832,9,20417,NA,NA,NA,NA,NA,1,1,11813,1,5907,NA,NA,NA,NA,NA
"3853",3853,4175100,"PAUL MITCHELL THE SCHOOL HONOLULU","HI","968162433","Proprietary",16,16,57000,16,28500,13,13,68777,13,34800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3854",3854,4175200,"PAUL MITCHELL THE SCHOOL EAST BAY","CA","945235515","Proprietary",18,18,63000,18,31500,21,21,96500,21,48250,NA,NA,NA,NA,NA,5,5,61081,5,30540,NA,NA,NA,NA,NA
"3855",3855,4175300,"PENROSE ACADEMY","AZ","852544065","Proprietary",21,21,53132,23,27063,25,25,80188,28,41342,NA,NA,NA,NA,NA,3,3,24756,3,12377,NA,NA,NA,NA,NA
"3856",3856,4175400,"ELITE COSMETOLOGY SCHOOL","CA","922842860","Proprietary",19,19,60878,21,33084,18,18,56362,22,31665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3857",3857,4175900,"GEISINGER-LEWISTOWN HOSPITAL SCHOOL OF NURSING","PA","170441167","Private-Nonprofit",22,22,85205,22,28405,29,31,166295,31,55435,NA,NA,NA,NA,NA,4,4,49500,4,16500,NA,NA,NA,NA,NA
"3858",3858,4176300,"BERGIN UNIVERSITY OF CANINE STUDIES","CA","949519671","Private-Nonprofit",4,4,13601,4,6801,3,3,20419,3,10210,7,7,96438,7,48219,NA,NA,NA,NA,NA,2,2,35620,2,17811
"3859",3859,4176500,"ESMT EUROPEAN SCHOOL OF MANAGEMENT AND TECHNOLOGY GMBH","","10178","Foreign-Private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,61500,3,30750,NA,NA,NA,NA,NA,2,2,71345,2,35673
"3860",3860,4176700,"AVEDA INSTITUTE BOISE","ID","837044406","Proprietary",8,8,22506,10,13407,9,9,26310,12,17309,NA,NA,NA,NA,NA,2,2,28675,2,14337,NA,NA,NA,NA,NA
"3861",3861,4177100,"PIMA MEDICAL INSTITUTE","CO","800123690","Proprietary",173,173,567230,183,299324,199,219,919137,231,490378,NA,NA,NA,NA,NA,17,17,119255,17,59887,NA,NA,NA,NA,NA
"3862",3862,4177300,"OHIO MEDICAL CAREER COLLEGE","OH","454174094","Proprietary",49,49,147504,69,88262,55,55,233805,77,134937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3863",3863,4177400,"CAPILO SCHOOL OF HAIR DESIGN","ME","43300000","Proprietary",5,5,13100,5,6550,2,2,8000,2,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3864",3864,4177500,"PURE AESTHETICS NATURAL SKINCARE SCHOOL","AZ","857163823","Proprietary",11,11,25663,11,12826,12,12,45333,12,22666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",3865,4177900,"BUCKNER BARBER SCHOOL","TX","752171775","Proprietary",5,5,16333,5,8167,7,7,36195,7,19598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3866",3866,4178100,"CAROLINA COLLEGE OF HAIR DESIGN","NC","288062711","Proprietary",4,4,13500,4,6750,2,2,12000,2,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3867",3867,4178200,"VOGUE COLLEGE - SAN ANTONIO","TX","782015035","Proprietary",26,26,74248,29,40617,29,29,125365,33,69181,NA,NA,NA,NA,NA,2,2,8384,2,4192,NA,NA,NA,NA,NA
"3868",3868,4178300,"VOGUE COLLEGE OF COSMETOLOGY","TX","782384402","Proprietary",12,12,37620,14,21403,12,12,66166,13,34540,NA,NA,NA,NA,NA,1,1,9000,1,4500,NA,NA,NA,NA,NA
"3869",3869,4178400,"VOGUE COLLEGE OF COSMETOLOGY","TX","785011945","Proprietary",30,30,92500,31,47744,32,32,126003,34,65225,NA,NA,NA,NA,NA,3,3,11240,3,5620,NA,NA,NA,NA,NA
"3870",3870,4178500,"VOGUE COLLEGE OF COSMETOLOGY","NM","875057636","Proprietary",5,5,16333,5,8166,5,5,16000,5,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3871",3871,4178700,"ATELIER ESTHETIQUE INSTITUTE OF ESTHETICS","NY","100016700","Proprietary",13,13,28447,14,15305,22,22,94982,25,53955,NA,NA,NA,NA,NA,2,2,16550,3,13250,NA,NA,NA,NA,NA
"3872",3872,4179100,"VERVE COLLEGE","IL","605231234","Proprietary",42,42,115194,47,60722,47,47,249424,52,129212,NA,NA,NA,NA,NA,1,1,8348,1,4174,NA,NA,NA,NA,NA
"3873",3873,4179200,"ADVANCED COLLEGE OF COSMETOLOGY","WI","539630000","Proprietary",12,12,42000,12,21000,13,13,57500,13,28750,NA,NA,NA,NA,NA,4,4,38259,4,19128,NA,NA,NA,NA,NA
"3874",3874,4179800,"SOTHEBY'S INSTITUTE OF ART - NY","NY","100226717","Proprietary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,246066,15,132929,NA,NA,NA,NA,NA,7,7,229616,7,114808
"3875",3875,4179900,"TOMORROW'S IMAGE BARBER & BEAUTY ACADEMY OF VIRGINIA","VA","236083900","Proprietary",3,3,9640,3,4820,4,4,15594,4,8844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3876",3876,4180000,"CINTA AVEDA INSTITUTE","CA","941083204","Proprietary",32,32,87327,32,43654,38,38,175998,38,87997,NA,NA,NA,NA,NA,2,2,22985,2,11492,NA,NA,NA,NA,NA
"3877",3877,4180200,"LONG ISLAND NAIL SKIN & HAIR INSTITUTE","NY","117561316","Proprietary",5,5,11665,5,5835,7,7,27595,7,13799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3878",3878,4180600,"APPALACHIAN COLLEGE OF PHARMACY","VA","246319210","Private-Nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,3472173,112,1746213,NA,NA,NA,NA,NA,89,89,1374581,89,696145
"3879",3879,4181200,"SOUTHERN CALIFORNIA HEALTH INSTITUTE (SOCHI)","CA","913353100","Proprietary",28,28,96800,28,48400,32,32,207200,32,103600,NA,NA,NA,NA,NA,1,1,4132,1,2066,NA,NA,NA,NA,NA
"3880",3880,4181600,"INTEGRITY COLLEGE OF HEALTH","CA","911042300","Proprietary",10,10,33833,10,16915,11,11,58244,11,29121,NA,NA,NA,NA,NA,1,1,7700,1,3850,NA,NA,NA,NA,NA
"3881",3881,4182100,"FIRST CLASS COSMETOLOGY SCHOOL","WI","525110000","Proprietary",2,2,5583,3,4417,4,4,18235,5,9840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3882",3882,4182200,"HAWAII MEDICAL COLLEGE","HI","968143518","Proprietary",94,94,298156,97,119607,98,98,450331,101,180671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3883",3883,4182600,"HCI COLLEGE","FL","334095189","Proprietary",217,226,709622,286,428687,236,239,1265366,299,754464,NA,NA,NA,NA,NA,10,10,89470,12,51367,NA,NA,NA,NA,NA
"3884",3884,4183100,"WASHINGTON BARBER COLLEGE","AR","722093820","Proprietary",4,4,14000,4,7000,4,4,12000,5,7250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3885",3885,4183300,"ABCOTT INSTITUTE","MI","480755227","Proprietary",25,25,78007,25,40675,25,25,148693,25,74347,NA,NA,NA,NA,NA,2,2,14899,2,7450,NA,NA,NA,NA,NA
